,username,created_time,tweet_id,tweet, place
460,SueCandy1,Wed Oct 06 09:44:44 +0000 2021,1445686453216825354,RT @chrismurphys: I went to a Catholic school housing 5 paedophile teachers.Confess in remorse to a priest &amp; he tells no one &amp; teacher stay…,"Central Coast, New South Wales"
461,percyvale21,Wed Oct 06 09:44:46 +0000 2021,1445686460246462464,RT @Kon__K: Melbourne residents were surprised to learn that a new record for days in lockdown set this week actually belongs to Australia’…,"Queensland, Australia"
462,brucec1312,Wed Oct 06 09:44:49 +0000 2021,1445686473739493378,"PM too busy dividing, thinking he will conquer. Let’s prove him wrong. Imagine another term of that divisive smirk.",Cook ACT. 
463,anasfairy,Wed Oct 06 09:44:50 +0000 2021,1445686477015314433,RT @reveriedoe: ଘ embody your inner 2000s - early 2010s victoria secret angel; a thread https://t.co/bjm3toUez1,
464,Lizzieannie,Wed Oct 06 09:44:50 +0000 2021,1445686478172934153,Wonderful words from Bob &amp; Martin. #thetownthatdidnotstare Long reign The Guinea Pig Club  &amp; The Queen Victoria Hos… https://t.co/xSsmiCExX2,"East Grinstead, West Sussex"
465,Julieoz836,Wed Oct 06 09:44:51 +0000 2021,1445686483298381831,@threadbanger unroll @normanswan @billbowtell @ProfPCDoherty @MarylouiseMcla1 @profesterman @Politics_SMHAGE… https://t.co/LiWDYd6cDI,Australia
466,TallRuss,Wed Oct 06 09:44:52 +0000 2021,1445686485219303425,"@_InThisTogether @21WIRE MEDICAL INDUSTRIAL COMPLEX
just got busted!!!
https://t.co/qeEdhO4nDm… https://t.co/MvET37kVAj","Florida, USA"
467,moatybuns,Wed Oct 06 09:44:53 +0000 2021,1445686490927751182,"@ZiggyWearsHats 😂😂 Melbourne/Victoria is known for it's '4 seasons in one day', but you get used to it 😁 definitely… https://t.co/5tF8SFJyJy","Victoria, Australia"
468,Christi83978248,Wed Oct 06 09:44:55 +0000 2021,1445686499786190853,RT @MelissaLDavey: City of Melbourne have just announced that from Friday 5 November vaccination will be required to enter any City of Melb…,
469,BigTunesLive101,Wed Oct 06 09:44:56 +0000 2021,1445686502441160711,RT @Claireholmes37: Congratulations NSW on spreading your virus to both Victoria and New Zealand,"Melbourne, Victoria, Australia"
470,LucyTreloar,Wed Oct 06 09:44:58 +0000 2021,1445686513207898114,"RT @lroc1501: Two young men, both 22 yo who were involved in the Murdoch Riots in Melbourne Australia, which was heavily promoted by Newsco…",
471,beigewash,Wed Oct 06 09:44:59 +0000 2021,1445686517154791426,RT @ricklevy67: @davidbewart Shadow Attorney General @TimSmithMP urged Melbournians to hold illegal house parties for the AFL grand finals…,
472,JaneBunn,Wed Oct 06 09:45:00 +0000 2021,1445686518358609920,"Rain clears by dawn for a generally dry Thursday. The morning brings lots of sunshine, the afternoon lots of cloud.… https://t.co/JGMEIdWPyM","Melbourne, VIC, Australia"
473,wanitaellis,Wed Oct 06 09:45:00 +0000 2021,1445686519117746184,RT @AusIndiMedia: Why does a certain newspaper congratulate NSW on their number of vaccinations while expressing shock and horror about Vic…,"Queensland, Australia"
474,Glennnnnnnnnnn2,Wed Oct 06 09:45:02 +0000 2021,1445686527871176709,"RT @sophieelsworth: Update today:
Victoria: 1420 cases.
NSW: 594 cases.😷","New South Wales, Australia"
475,GartsideJackie,Wed Oct 06 09:45:03 +0000 2021,1445686531088207879,RT @Amaralee23: Melbourne is dead! https://t.co/z5e8kFciQr,"North West, England"
476,memo_bisxual,Wed Oct 06 09:45:08 +0000 2021,1445686554182123526,RT @beautifulcelebz: Victoria Justice 😍 https://t.co/rll7exHwaj,الإسكندرية
477,DraysonKaren,Wed Oct 06 09:45:09 +0000 2021,1445686558980411406,"RT @MFWitches: Here’s another DM we got of #NewsCorpse papers in Hawthorn this arvo awaiting return to Murdoch’s headquarters.

Please take…",
478,kathid_d,Wed Oct 06 09:45:10 +0000 2021,1445686561790521356,"RT @justinjonesblog: To the Victorians who live in the Kew electorate, please vote this man out next year. 
Dan Andrews is not under invest…",Australia
479,doublemacbex,Wed Oct 06 09:45:10 +0000 2021,1445686561039810560,"In #Gozo's capital Victoria (also known as Rabat), as well as stunning architecture and history at the Cittadella,… https://t.co/wwb0vEEJba","London, England"
480,iliasofjohn,Wed Oct 06 09:45:12 +0000 2021,1445686568606322692,"Hey @DanielAndrewsMP 

The meat workers want to have a chat with you.
👇
#springst","Melbourne, Victoria"
481,CouncilCapers,Wed Oct 06 09:45:13 +0000 2021,1445686573928833024,RT @MelissaLDavey: City of Melbourne have just announced that from Friday 5 November vaccination will be required to enter any City of Melb…,United Kingdom
482,Ameng1010Ameng,Wed Oct 06 09:45:16 +0000 2021,1445686588244041730,"RT @yourboyfcisco: Change into that Victoria Secret thing that I like
(@missjfux) https://t.co/jjGPlYkwSp",
483,cindygrahame,Wed Oct 06 09:45:21 +0000 2021,1445686606082441221,RT @beestydi: Tweet of the Week.....🏆🏆🏆🏆,Newcastle NSW
484,NarelleMacPher1,Wed Oct 06 09:45:21 +0000 2021,1445686609630826497,"RT @VicAusMidwife: Can anyone pls tell me, based on the the modeling done for Victoria &amp; Australia, when our hospitals will return to pre-C…",
485,akil_awawdi,Wed Oct 06 09:45:24 +0000 2021,1445686620225630215,"RT @Brazzers: Sneak preview of ""Letting Loose With Victoria"" #Trailer with
@victoriacake3x @SlayherJax @TheDanFerrari @ItsMichaelVegas

📅 O…",
486,marioacordero,Wed Oct 06 09:45:24 +0000 2021,1445686622113054723,"RT @TheBishF1: In the 71-year history of #F1, only 3 men have done it, ‘it’ being to start their maiden GP from pole position: Jacques Vill…",
